2025-09-15 15:36:21 - DEBUG - Bicep Curl: Smoothed Elbow=175.9°, Prev=176.0°, Direction=decreasing, Frames Since Rep=12
2025-09-15 15:36:21 - DEBUG - Bicep Curl: Smoothed Elbow=175.8°, Prev=175.9°, Direction=decreasing, Frames Since Rep=13
2025-09-15 15:36:21 - DEBUG - Bicep Curl: Smoothed Elbow=176.0°, Prev=175.8°, Direction=increasing, Frames Since Rep=14
2025-09-15 15:36:21 - DEBUG - Bicep Curl: Smoothed Elbow=176.2°, Prev=176.0°, Direction=increasing, Frames Since Rep=15
2025-09-15 15:36:21 - DEBUG - Bicep Curl: Smoothed Elbow=175.7°, Prev=176.2°, Direction=decreasing, Frames Since Rep=16
2025-09-15 15:36:21 - DEBUG - Bicep Curl: Smoothed Elbow=174.0°, Prev=175.7°, Direction=decreasing, Frames Since Rep=17
2025-09-15 15:36:21 - DEBUG - Bicep Curl: Smoothed Elbow=170.9°, Prev=174.0°, Direction=decreasing, Frames Since Rep=18
2025-09-15 15:36:21 - DEBUG - Bicep Curl: Smoothed Elbow=165.9°, Prev=170.9°, Direction=decreasing, Frames Since Rep=19
2025-09-15 15:36:21 - DEBUG - Bicep Curl: Smoothed Elbow=158.1°, Prev=165.9°, Direction=decreasing, Frames Since Rep=20
2025-09-15 15:36:21 - DEBUG - Bicep Curl: Smoothed Elbow=149.6°, Prev=158.1°, Direction=decreasing, Frames Since Rep=21
2025-09-15 15:36:21 - DEBUG - Bicep Curl: Smoothed Elbow=142.4°, Prev=149.6°, Direction=decreasing, Frames Since Rep=22
2025-09-15 15:36:21 - DEBUG - Bicep Curl: Smoothed Elbow=137.6°, Prev=142.4°, Direction=decreasing, Frames Since Rep=23
2025-09-15 15:36:21 - DEBUG - Bicep Curl: Smoothed Elbow=137.0°, Prev=137.6°, Direction=decreasing, Frames Since Rep=24
2025-09-15 15:36:22 - DEBUG - Bicep Curl: Smoothed Elbow=140.7°, Prev=137.0°, Direction=increasing, Frames Since Rep=25
2025-09-15 15:36:22 - DEBUG - Bicep Curl: Smoothed Elbow=147.8°, Prev=140.7°, Direction=increasing, Frames Since Rep=26
2025-09-15 15:36:22 - DEBUG - Bicep Curl: Smoothed Elbow=156.0°, Prev=147.8°, Direction=increasing, Frames Since Rep=27
